event_id,duration_hours,n_windows,points_per_window,ann_reference_id,threshold_mm,events_over_windows,ann_bs,gnn_bs,gnn_bs_wins,relative_bs_improvement_pct,gnn_minus_ann_bs
hill_country_2025,6,16,252,025,6.35,678,0.12478695441932632,0.12296202461248476,11,1.4624363703189425,-0.0018249298068415548
hill_country_2025,6,16,252,025,12.7,403,0.08370982984103231,0.08344602794090752,9,0.3151384976241789,-0.0002638019001247882
hill_country_2025,6,16,252,025,25.4,189,0.042917179413798266,0.042934939036782374,8,-0.04138115138665466,1.775962298410788e-05
hill_country_2025,6,16,252,025,50.8,63,0.015074972724483401,0.01512778846661867,8,-0.3503538155627428,5.2815742135269364e-05
hill_country_2025,12,16,252,025,12.7,783,0.13694772446576225,0.13526919414593977,11,1.2256722967617706,-0.0016785303198224855
hill_country_2025,12,16,252,025,25.4,410,0.08452177079043593,0.08400234053926842,11,0.6145520216979339,-0.0005194302511675186
hill_country_2025,12,16,252,025,50.8,152,0.03470638104284292,0.03466583722690393,10,0.11681948598714076,-4.054381593898704e-05
hill_country_2025,12,16,252,025,76.2,77,0.01836736071866695,0.018371752267583592,9,-0.023909526163867767,4.391548916640731e-06
hill_country_2025,24,16,252,025,12.7,1446,0.18757686602179574,0.1817393023405489,14,3.112091488173452,-0.005837563681246827
hill_country_2025,24,16,252,025,25.4,859,0.14622182394365224,0.14374196305192505,10,1.6959581168149218,-0.0024798608917271925
hill_country_2025,24,16,252,025,50.8,373,0.0745565247170588,0.0745392128149478,6,0.023219835120669163,-1.7311902111002975e-05
hill_country_2025,24,16,252,025,76.2,192,0.041281379753999224,0.04152002275744189,6,-0.5780887287798242,0.00023864300344266648
hill_country_2025,24,16,252,025,127.0,84,0.019746706804898803,0.019880969384956888,4,-0.6799239052092343,0.00013426258005808447
edouard_2026,6,14,458,ann_operational,6.35,596,0.059149678901304424,0.06004323343343327,5,-1.5106667503974158,0.0008935545321288457
edouard_2026,6,14,458,ann_operational,12.7,325,0.03704630430901325,0.038328855502282225,3,-3.4620219673489494,0.001282551193268977
edouard_2026,6,14,458,ann_operational,25.4,138,0.01788198283021431,0.018352777785913175,6,-2.6327894404606145,0.00047079495569886387
edouard_2026,6,14,458,ann_operational,50.8,44,0.0063851631132448555,0.006525736949367723,4,-2.201570008936393,0.00014057383612286773
edouard_2026,12,11,458,ann_operational,12.7,475,0.05394019656401793,0.05482304293922501,4,-1.6367133074112639,0.0008828463752070803
edouard_2026,12,11,458,ann_operational,25.4,268,0.034546355008540426,0.0356555554225428,2,-3.2107596119132165,0.0011092004140023717
edouard_2026,12,11,458,ann_operational,50.8,102,0.015889895003001305,0.016564750849257927,3,-4.2470755541754945,0.0006748558462566223
edouard_2026,12,11,458,ann_operational,76.2,48,0.008442041110596175,0.00863459428013557,4,-2.280884054185761,0.0001925531695393945
edouard_2026,24,7,458,ann_operational,12.7,545,0.07282037860738932,0.07381795138238102,1,-1.369908800351216,0.000997572774991698
edouard_2026,24,7,458,ann_operational,25.4,344,0.05084394667710072,0.052866984516395286,1,-3.978915822846041,0.0020230378392945697
edouard_2026,24,7,458,ann_operational,50.8,173,0.035953564781114986,0.038408378771754466,1,-6.827734622656667,0.0024548139906394803
edouard_2026,24,7,458,ann_operational,76.2,100,0.024154841723379304,0.025739756884266832,1,-6.561480216007798,0.0015849151608875282
edouard_2026,24,7,458,ann_operational,127.0,39,0.011333719639403985,0.011621867325615157,2,-2.5423929246437993,0.00028814768621117197
