initialization,duration_hours,window,start_forecast_hour,end_forecast_hour,valid_time,verification_month,threshold,display_label,threshold_kind,domain_count,excluded_land_count,common_mask_count,threshold_minimum_mm,threshold_maximum_mm,n_samples,n_events,n_forecast_events,base_rate,H,M,F,CN,POD,FAR,CSI,brier_score,bs_climatology,brier_skill_score
2026081712,6,f00_f06,0,6,2026-08-17T18:00:00,8,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,95,97,0.007133203183661211,31,64,66,13157,0.3263157894736842,0.6804123711340206,0.19254658385093168,0.006490786340430602,0.0076812135719825725,0.15497905642073084
2026081712,6,f00_f06,0,6,2026-08-17T18:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,31,6,0.0023276768283526056,2,29,4,13283,0.06451612903225806,0.6666666666666666,0.05714285714285714,0.0024598946638433937,0.002533175392591198,0.028928406995476608
2026081712,6,f00_f06,0,6,2026-08-17T18:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,8,0,0.0006006907944135756,0,8,0,13310,0.0,,0.0,0.0006437365738536225,0.000630163727173434,-0.02153860353255932
2026081712,6,f00_f06,0,6,2026-08-17T18:00:00,8,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,0,0,0.0,0,0,0,13318,,,,1.5408226682167786e-06,2.109913872019921e-06,0.2697224807846419
2026081712,6,f00_f06,0,6,2026-08-17T18:00:00,8,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,0,0,0.0,0,0,0,13301,,,,1.033239527994073e-06,1.7177263956769233e-06,0.3984842227525456
2026081712,6,f00_f06,0,6,2026-08-17T18:00:00,8,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,0,0,0.0,0,0,0,13301,,,,1.895406611894947e-07,5.866175441951142e-07,0.676892273227935
2026081712,6,f06_f12,6,12,2026-08-18T00:00:00,8,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,451,264,0.033863943535065326,92,359,172,12695,0.2039911308203991,0.6515151515151515,0.1476725521669342,0.028956069560927316,0.032177588287076016,0.10011684832957501
2026081712,6,f06_f12,6,12,2026-08-18T00:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,178,14,0.013365370175702057,2,176,12,13128,0.011235955056179775,0.8571428571428571,0.010526315789473684,0.012306071751146928,0.013072966052733117,0.058662609425644274
2026081712,6,f06_f12,6,12,2026-08-18T00:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,34,0,0.0025529358762576963,0,34,0,13284,0.0,,0.0,0.0025225222604159316,0.0025493610945010307,0.010527670694822522
2026081712,6,f06_f12,6,12,2026-08-18T00:00:00,8,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,4,0,0.0003003453972067878,0,4,0,13314,0.0,,0.0,0.00029766939998251095,0.0003024553110788076,0.015823531348238218
2026081712,6,f06_f12,6,12,2026-08-18T00:00:00,8,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,2,0,0.00015036463423802722,0,2,0,13299,0.0,,0.0,0.00015161936555369848,0.00015208236063370408,0.0030443706822828043
2026081712,6,f06_f12,6,12,2026-08-18T00:00:00,8,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,0,0,0.0,0,0,0,13301,,,,8.520984570680578e-07,5.866175441951142e-07,-0.4525621770095616
2026081712,12,f00_f12,0,12,2026-08-18T00:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,226,35,0.01696951494218351,6,220,29,13063,0.02654867256637168,0.8285714285714286,0.023529411764705882,0.01564693269986587,0.016635069810537497,0.05940083942693719
2026081712,12,f00_f12,0,12,2026-08-18T00:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,46,0,0.00345397206787806,0,46,0,13272,0.0,,0.0,0.0034812171505147933,0.003501664058385474,0.005839197458624268
2026081712,12,f00_f12,0,12,2026-08-18T00:00:00,8,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,5,0,0.00037543174650848477,0,5,0,13313,0.0,,0.0,0.00037370366686973345,0.00038522977602183935,0.029920088917146592
2026081712,12,f00_f12,0,12,2026-08-18T00:00:00,8,3inch,3 inches,fixed,13318,0,13318,76.19999694824219,76.19999694824219,13318,0,0,0.0,0,0,0,13318,,,,2.1807274699100473e-07,1.5402891323176387e-06,0.8584209013648785
2026081712,12,f00_f12,0,12,2026-08-18T00:00:00,8,2yr12h_ari,2-year 12-hour ARI,ari,12753,565,12753,12.478196144104004,130.89535522460938,12753,1,0,7.84129224496197e-05,0,1,0,12752,0.0,,0.0,7.905234395216052e-05,8.208045362852878e-05,0.03689197053018933
2026081712,12,f00_f12,0,12,2026-08-18T00:00:00,8,5yr12h_ari,5-year 12-hour ARI,ari,12753,565,12753,17.717864990234375,165.05723571777344,12753,0,0,0.0,0,0,0,12753,,,,3.1663358944343805e-07,1.1985701544907817e-06,0.7358238996214941
2026081712,6,f12_f18,12,18,2026-08-18T06:00:00,8,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,334,90,0.025078840666766782,25,309,65,12919,0.0748502994011976,0.7222222222222222,0.06265664160401002,0.021471113926915173,0.02425221196549083,0.11467399520229171
2026081712,6,f12_f18,12,18,2026-08-18T06:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,131,0,0.009836311758522301,0,131,0,13187,0.0,,0.0,0.009053494016373967,0.009739520940098192,0.07043744019275233
2026081712,6,f12_f18,12,18,2026-08-18T06:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,23,0,0.00172698603393903,0,23,0,13295,0.0,,0.0,0.0016979252127088938,0.0017438230758507357,0.026320252196141092
2026081712,6,f12_f18,12,18,2026-08-18T06:00:00,8,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,9,0,0.0006757771437152726,0,9,0,13309,0.0,,0.0,0.0006714860723600856,0.0006749710827775254,0.005163199589379275
2026081712,6,f12_f18,12,18,2026-08-18T06:00:00,8,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,9,0,0.0006766408540711225,0,9,0,13292,0.0,,0.0,0.0006715469392447056,0.0006759254957068871,0.006477868478096505
2026081712,6,f12_f18,12,18,2026-08-18T06:00:00,8,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,2,0,0.00015036463423802722,0,2,0,13299,0.0,,0.0,0.00015013180636553691,0.0001507079433044806,0.0038228704228262522
2026081712,12,f06_f18,6,18,2026-08-18T06:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,344,64,0.02582970415978375,15,329,49,12925,0.0436046511627907,0.765625,0.03816793893129771,0.023000454085027412,0.02472703686550401,0.0698257049507337
2026081712,12,f06_f18,6,18,2026-08-18T06:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,67,0,0.005030785403213695,0,67,0,13251,0.0,,0.0,0.004987179139622439,0.005043558204637631,0.01117843053012657
2026081712,12,f06_f18,6,18,2026-08-18T06:00:00,8,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,15,0,0.0011262952395254542,0,15,0,13303,0.0,,0.0,0.0011191200291794873,0.0011306434533862434,0.010191916976341031
2026081712,12,f06_f18,6,18,2026-08-18T06:00:00,8,3inch,3 inches,fixed,13318,0,13318,76.19999694824219,76.19999694824219,13318,0,0,0.0,0,0,0,13318,,,,4.547258300253302e-07,1.5402891323176387e-06,0.704778914241176
2026081712,12,f06_f18,6,18,2026-08-18T06:00:00,8,2yr12h_ari,2-year 12-hour ARI,ari,12753,565,12753,12.478196144104004,130.89535522460938,12753,5,0,0.0003920646122480985,0,5,0,12748,0.0,,0.0,0.0003933832203261459,0.0003936242691513153,0.0006123830364654914
2026081712,12,f06_f18,6,18,2026-08-18T06:00:00,8,5yr12h_ari,5-year 12-hour ARI,ari,12753,565,12753,17.717864990234375,165.05723571777344,12753,0,0,0.0,0,0,0,12753,,,,9.088358949793269e-07,1.1985701544907817e-06,0.2417332505952059
2026081712,6,f18_f24,18,24,2026-08-18T12:00:00,8,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,146,114,0.010962606998047755,47,99,67,13105,0.3219178082191781,0.5877192982456141,0.22065727699530516,0.01003560254146212,0.011343677830953103,0.11531315583749069
2026081712,6,f18_f24,18,24,2026-08-18T12:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,60,40,0.004505180958101817,7,53,33,13225,0.11666666666666667,0.825,0.07526881720430108,0.004355705504394358,0.004647500069638098,0.06278527399063849
2026081712,6,f18_f24,18,24,2026-08-18T12:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,18,0,0.0013515542874305451,0,18,0,13300,0.0,,0.0,0.0013187904134756507,0.0013754382683857278,0.04118531250156465
2026081712,6,f18_f24,18,24,2026-08-18T12:00:00,8,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,2,0,0.0001501726986033939,0,2,0,13316,0.0,,0.0,0.00014803081891321383,0.000152039614573143,0.02636678388842284
2026081712,6,f18_f24,18,24,2026-08-18T12:00:00,8,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,1,0,7.518231711901361e-05,0,1,0,13300,0.0,,0.0,7.591743291041348e-05,7.690004351469055e-05,0.01277776395652308
2026081712,6,f18_f24,18,24,2026-08-18T12:00:00,8,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,0,0,0.0,0,0,0,13301,,,,5.643462628235725e-07,5.866175441951142e-07,0.03796559034404545
2026081712,12,f12_f24,12,24,2026-08-18T12:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,197,86,0.0147920108124343,42,155,44,13077,0.2131979695431472,0.5116279069767442,0.17427385892116182,0.012626281458055983,0.014884064214886578,0.15169128030047263
2026081712,12,f12_f24,12,24,2026-08-18T12:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,43,0,0.003228713019972969,0,43,0,13275,0.0,,0.0,0.0028720116462880195,0.003332719772439172,0.1382378830530857
2026081712,12,f12_f24,12,24,2026-08-18T12:00:00,8,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,11,0,0.0008259498423186665,0,11,0,13307,0.0,,0.0,0.0007748900349029592,0.0008309035912713879,0.06741282256672021
2026081712,12,f12_f24,12,24,2026-08-18T12:00:00,8,3inch,3 inches,fixed,13318,0,13318,76.19999694824219,76.19999694824219,13318,1,0,7.508634930169695e-05,0,1,0,13317,0.0,,0.0,7.4570014696898e-05,7.662663843401458e-05,0.02683954012791001
2026081712,12,f12_f24,12,24,2026-08-18T12:00:00,8,2yr12h_ari,2-year 12-hour ARI,ari,12753,565,12753,12.478196144104004,130.89535522460938,12753,8,0,0.0006273033795969576,0,8,0,12745,0.0,,0.0,0.0006046601816944064,0.0006280198867972004,0.03719580477287865
