initialization,duration_hours,window,start_forecast_hour,end_forecast_hour,valid_time,verification_month,threshold,display_label,threshold_kind,domain_count,excluded_land_count,common_mask_count,threshold_minimum_mm,threshold_maximum_mm,n_samples,n_events,n_forecast_events,base_rate,H,M,F,CN,POD,FAR,CSI,brier_score,bs_climatology,brier_skill_score
2026090912,6,f00_f06,0,6,2026-09-09T18:00:00,9,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,204,205,0.015317615257546179,92,112,113,13001,0.45098039215686275,0.551219512195122,0.2902208201892745,0.011298286773637688,0.015212266133573012,0.2572910127635284
2026090912,6,f00_f06,0,6,2026-09-09T18:00:00,9,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,71,78,0.005331130800420483,35,36,43,13204,0.49295774647887325,0.5512820512820513,0.30701754385964913,0.004196039803049881,0.0053599297258149535,0.21714648928314217
2026090912,6,f00_f06,0,6,2026-09-09T18:00:00,9,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,11,0,0.0008259498423186665,0,11,0,13307,0.0,,0.0,0.000760345107164996,0.0008384765461817384,0.09318261717938092
2026090912,6,f00_f06,0,6,2026-09-09T18:00:00,9,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,0,0,0.0,0,0,0,13318,,,,3.922538037254215e-06,1.1601938404933988e-06,-2.3809333409200537
2026090912,6,f00_f06,0,6,2026-09-09T18:00:00,9,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,0,0,0.0,0,0,0,13301,,,,5.170924662545794e-07,6.072400715385596e-07,0.14845463846872597
2026090912,6,f00_f06,0,6,2026-09-09T18:00:00,9,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,0,0,0.0,0,0,0,13301,,,,4.5060857320418224e-08,1.986416785922678e-07,0.7731550717867715
2026090912,6,f06_f12,6,12,2026-09-10T00:00:00,9,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,486,226,0.03649196576062472,71,415,155,12677,0.14609053497942387,0.6858407079646017,0.11076443057722309,0.028938609626926473,0.03476655657868749,0.1676308362195884
2026090912,6,f06_f12,6,12,2026-09-10T00:00:00,9,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,209,9,0.015693047004054664,3,206,6,13103,0.014354066985645933,0.6666666666666666,0.013953488372093023,0.0142884881067282,0.015366595988237166,0.07015918700109236
2026090912,6,f06_f12,6,12,2026-09-10T00:00:00,9,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,39,0,0.002928367622766181,0,39,0,13279,0.0,,0.0,0.0028391735772151177,0.002900280007327782,0.021069148481620448
2026090912,6,f06_f12,6,12,2026-09-10T00:00:00,9,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,4,0,0.0003003453972067878,0,4,0,13314,0.0,,0.0,0.0002916926288261595,0.0002984971229793657,0.02279584501615628
2026090912,6,f06_f12,6,12,2026-09-10T00:00:00,9,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,5,0,0.00037591158559506803,0,5,0,13296,0.0,,0.0,0.0003755238678271007,0.00037651882566660654,0.0026425181735449943
2026090912,6,f06_f12,6,12,2026-09-10T00:00:00,9,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,2,0,0.00015036463423802722,0,2,0,13299,0.0,,0.0,0.00015031468315600981,0.00015056327591661946,0.0016510849614305156
2026090912,12,f00_f12,0,12,2026-09-10T00:00:00,9,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,325,89,0.02440306352305151,44,281,45,12948,0.13538461538461538,0.5056179775280899,0.11891891891891893,0.02103774122818622,0.023566206276863823,0.1072919849284325
2026090912,12,f00_f12,0,12,2026-09-10T00:00:00,9,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,54,0,0.004054662862291635,0,54,0,13264,0.0,,0.0,0.0039128729559244615,0.004050267912744226,0.033922436683126445
2026090912,12,f00_f12,0,12,2026-09-10T00:00:00,9,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,5,0,0.00037543174650848477,0,5,0,13313,0.0,,0.0,0.0003719717563147932,0.0003768371968493818,0.012911253388112942
2026090912,12,f00_f12,0,12,2026-09-10T00:00:00,9,3inch,3 inches,fixed,13318,0,13318,76.19999694824219,76.19999694824219,13318,1,0,7.508634930169695e-05,0,1,0,13317,0.0,,0.0,7.53239847820292e-05,7.638325867724433e-05,0.013867880391056242
2026090912,12,f00_f12,0,12,2026-09-10T00:00:00,9,2yr12h_ari,2-year 12-hour ARI,ari,12753,565,12753,12.478196144104004,130.89535522460938,12753,3,0,0.0002352387673488591,0,3,0,12750,0.0,,0.0,0.00023536594564387903,0.00023684912936148764,0.006262145533771024
2026090912,12,f00_f12,0,12,2026-09-10T00:00:00,9,5yr12h_ari,5-year 12-hour ARI,ari,12753,565,12753,17.717864990234375,165.05723571777344,12753,2,0,0.0001568258448992394,0,2,0,12751,0.0,,0.0,0.00015679340576744952,0.00015739980191224607,0.003852585183903967
2026090912,6,f12_f18,12,18,2026-09-10T06:00:00,9,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,561,370,0.04212344195825199,170,391,200,12557,0.30303030303030304,0.5405405405405406,0.2233902759526938,0.03023300996829713,0.04011849595183995,0.24640719321606175
2026090912,6,f12_f18,12,18,2026-09-10T06:00:00,9,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,246,99,0.01847124192821745,15,231,84,12988,0.06097560975609756,0.8484848484848485,0.045454545454545456,0.017624729841194103,0.018188162995501432,0.030978013252173198
2026090912,6,f12_f18,12,18,2026-09-10T06:00:00,9,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,73,0,0.005481303499023878,0,73,0,13245,0.0,,0.0,0.005455655235543634,0.005471768103640652,0.0029447278817055222
2026090912,6,f12_f18,12,18,2026-09-10T06:00:00,9,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,5,0,0.00037543174650848477,0,5,0,13313,0.0,,0.0,0.0003787102925832799,0.0003765919403489781,-0.0056250599318157235
2026090912,6,f12_f18,12,18,2026-09-10T06:00:00,9,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,5,0,0.00037591158559506803,0,5,0,13296,0.0,,0.0,0.000381603220558394,0.00037626779957334813,-0.014179850072463474
2026090912,6,f12_f18,12,18,2026-09-10T06:00:00,9,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,1,0,7.518231711901361e-05,0,1,0,13300,0.0,,0.0,7.600406598023694e-05,7.538095879760587e-05,-0.008266108478456546
2026090912,12,f06_f18,6,18,2026-09-10T06:00:00,9,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,533,175,0.040021024177804475,76,457,99,12686,0.1425891181988743,0.5657142857142857,0.12025316455696203,0.030693043873104894,0.03833668882683689,0.19938198075106595
2026090912,12,f06_f18,6,18,2026-09-10T06:00:00,9,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,152,0,0.011413125093857937,0,152,0,13166,0.0,,0.0,0.010818943069620904,0.011296573191005653,0.042280974354686474
2026090912,12,f06_f18,6,18,2026-09-10T06:00:00,9,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,15,0,0.0011262952395254542,0,15,0,13303,0.0,,0.0,0.0011180538864828437,0.0011262304675677848,0.007260131314507423
2026090912,12,f06_f18,6,18,2026-09-10T06:00:00,9,3inch,3 inches,fixed,13318,0,13318,76.19999694824219,76.19999694824219,13318,1,0,7.508634930169695e-05,0,1,0,13317,0.0,,0.0,7.553605694988322e-05,7.638325867724433e-05,0.011091458285917621
2026090912,12,f06_f18,6,18,2026-09-10T06:00:00,9,2yr12h_ari,2-year 12-hour ARI,ari,12753,565,12753,12.478196144104004,130.89535522460938,12753,7,0,0.0005488904571473379,0,7,0,12746,0.0,,0.0,0.0005502739091585852,0.0005505008191599664,0.00041218830832523423
2026090912,12,f06_f18,6,18,2026-09-10T06:00:00,9,5yr12h_ari,5-year 12-hour ARI,ari,12753,565,12753,17.717864990234375,165.05723571777344,12753,3,0,0.0002352387673488591,0,3,0,12750,0.0,,0.0,0.00023550768975974686,0.00023581272436186578,0.0012935459820685447
2026090912,6,f18_f24,18,24,2026-09-10T12:00:00,9,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,548,597,0.04114731941732993,283,265,314,12456,0.5164233576642335,0.525963149078727,0.32830626450116007,0.027200721447711077,0.0393574788742424,0.3088804916944856
2026090912,6,f18_f24,18,24,2026-09-10T12:00:00,9,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,331,206,0.02485358161886169,97,234,109,12878,0.2930513595166163,0.529126213592233,0.22045454545454546,0.01908501141762144,0.024326566062642385,0.2154662779581641
2026090912,6,f18_f24,18,24,2026-09-10T12:00:00,9,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,128,17,0.00961105271061721,2,126,15,13175,0.015625,0.8823529411764706,0.013986013986013986,0.008913905708375641,0.009558646644794163,0.06745106921278043
2026090912,6,f18_f24,18,24,2026-09-10T12:00:00,9,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,24,0,0.0018020723832407267,0,24,0,13294,0.0,,0.0,0.0017259522265887968,0.0018014776374157282,0.04192414563373359
2026090912,6,f18_f24,18,24,2026-09-10T12:00:00,9,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,16,0,0.0012029170739042178,0,16,0,13285,0.0,,0.0,0.0011880372331982514,0.001202771235695981,0.012250045611710947
2026090912,6,f18_f24,18,24,2026-09-10T12:00:00,9,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,9,0,0.0006766408540711225,0,9,0,13292,0.0,,0.0,0.000674229907681038,0.0006763374435631976,0.003116101144801764
