record_id,duration_hours,model_id,previous_reported_crps_mm,legacy_formula_crps_mm,corrected_crps_mm,zero_mass_term_mean_mm,scoring_version
6h_06471,6,025,3.67586230834737,3.6758623083473694,3.6749879468785926,-0.0008743614687763075,csgd_crps_zero_mass_v1
6h_06471,6,0125,3.7760326614073425,3.7760326614073425,3.775229298569511,-0.0008033628378314448,csgd_crps_zero_mass_v1
6h_06471,6,3km,3.7992106352086354,3.7992106352086354,3.7984992716121266,-0.0007113635965085832,csgd_crps_zero_mass_v1
6h_06471,6,gnn_csgd,,3.726022389612742,3.725163864604543,-0.0008585250081987452,csgd_crps_zero_mass_v1
6h_06472,6,025,6.071726831224243,6.071726831224244,6.071098694374978,-0.000628136849265795,csgd_crps_zero_mass_v1
6h_06472,6,0125,6.043251310574433,6.043251310574433,6.04258062489929,-0.000670685675144024,csgd_crps_zero_mass_v1
6h_06472,6,3km,6.047689967381815,6.047689967381815,6.046756859315427,-0.000933108066387744,csgd_crps_zero_mass_v1
6h_06472,6,gnn_csgd,,5.89606945904515,5.8956663846039,-0.0004030744412498014,csgd_crps_zero_mass_v1
6h_06473,6,025,10.790789376410938,10.790789376410938,10.78987033976954,-0.000919036641399295,csgd_crps_zero_mass_v1
6h_06473,6,0125,10.826066188064353,10.826066188064353,10.825306128340634,-0.000760059723720252,csgd_crps_zero_mass_v1
6h_06473,6,3km,10.973242473713148,10.973242473713148,10.972064252319376,-0.0011782213937697734,csgd_crps_zero_mass_v1
6h_06473,6,gnn_csgd,,10.81709175923419,10.816131168473678,-0.0009605907605113937,csgd_crps_zero_mass_v1
6h_06474,6,025,7.505886024151325,7.505886024151325,7.5050013358761,-0.0008846882752243302,csgd_crps_zero_mass_v1
6h_06474,6,0125,7.551083190352337,7.551083190352337,7.550551148847287,-0.0005320415050474948,csgd_crps_zero_mass_v1
6h_06474,6,3km,7.580971275502785,7.580971275502785,7.57991139405924,-0.0010598814435453672,csgd_crps_zero_mass_v1
6h_06474,6,gnn_csgd,,7.327105208091199,7.326781139333016,-0.00032406875818037097,csgd_crps_zero_mass_v1
6h_06475,6,025,3.624884025729687,3.6248840257296875,3.6239144201795055,-0.0009696055501824379,csgd_crps_zero_mass_v1
6h_06475,6,0125,3.6295183332571495,3.6295183332571495,3.6285898177927867,-0.0009285154643622661,csgd_crps_zero_mass_v1
6h_06475,6,3km,3.642725226891697,3.642725226891697,3.641756996115186,-0.0009682307765110333,csgd_crps_zero_mass_v1
6h_06475,6,gnn_csgd,,3.55786039334785,3.5570692554002075,-0.0007911379476425856,csgd_crps_zero_mass_v1
6h_06476,6,025,1.1858484849224233,1.1858484849224231,1.185180893457311,-0.0006675914651123029,csgd_crps_zero_mass_v1
6h_06476,6,0125,1.1890752973986816,1.1890752973986816,1.1884367762425796,-0.0006385211561020189,csgd_crps_zero_mass_v1
6h_06476,6,3km,1.1929958005188575,1.192995800518857,1.1923168466291671,-0.0006789538896901267,csgd_crps_zero_mass_v1
