initialization,duration_hours,window,start_forecast_hour,end_forecast_hour,valid_time,verification_month,threshold,display_label,threshold_kind,domain_count,excluded_land_count,common_mask_count,threshold_minimum_mm,threshold_maximum_mm,n_samples,n_events,n_forecast_events,base_rate,H,M,F,CN,POD,FAR,CSI,brier_score,bs_climatology,brier_skill_score
2026092412,6,f00_f06,0,6,2026-09-24T18:00:00,9,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,523,312,0.0392701606847875,244,279,68,12727,0.4665391969407266,0.21794871794871795,0.4128595600676819,0.019692257545113213,0.03822867657773728,0.48488257224731846
2026092412,6,f00_f06,0,6,2026-09-24T18:00:00,9,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,203,106,0.015242528908244481,70,133,36,13079,0.3448275862068966,0.33962264150943394,0.2928870292887029,0.009835502481388696,0.0151086198482491,0.34901383579860823
2026092412,6,f00_f06,0,6,2026-09-24T18:00:00,9,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,47,16,0.0035290584171797567,4,43,12,13259,0.0851063829787234,0.75,0.06779661016949153,0.003183952161474877,0.0035285484258953826,0.09765949700210297
2026092412,6,f00_f06,0,6,2026-09-24T18:00:00,9,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,0,0,0.0,0,0,0,13318,,,,8.269139418253453e-06,1.1601938404933988e-06,-6.1273774516306805
2026092412,6,f00_f06,0,6,2026-09-24T18:00:00,9,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,1,0,7.518231711901361e-05,0,1,0,13300,0.0,,0.0,8.955865129279141e-05,7.553853109729367e-05,-0.1856022349367612
2026092412,6,f00_f06,0,6,2026-09-24T18:00:00,9,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,0,0,0.0,0,0,0,13301,,,,8.453866492251628e-07,1.986416785922678e-07,-3.2558372201455494
2026092412,6,f06_f12,6,12,2026-09-25T00:00:00,9,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,273,169,0.020498573359363267,89,184,80,12965,0.326007326007326,0.47337278106508873,0.2521246458923513,0.01584881074653691,0.02026360940346757,0.21786832587560567
2026092412,6,f06_f12,6,12,2026-09-25T00:00:00,9,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,96,36,0.007208289532962907,15,81,21,13201,0.15625,0.5833333333333334,0.1282051282051282,0.006590711215351924,0.0072370884575531855,0.08931454216600776
2026092412,6,f06_f12,6,12,2026-09-25T00:00:00,9,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,17,0,0.0012764679381288481,0,17,0,13301,0.0,,0.0,0.0013159154217646536,0.0012902481702894498,-0.019893267098720857
2026092412,6,f06_f12,6,12,2026-09-25T00:00:00,9,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,2,0,0.0001501726986033939,0,2,0,13316,0.0,,0.0,0.00015030695343726122,0.00015133289244388727,0.006779352393640803
2026092412,6,f06_f12,6,12,2026-09-25T00:00:00,9,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,2,0,0.00015036463423802722,0,2,0,13299,0.0,,0.0,0.00015185833955287152,0.0001509718743095658,-0.005871724434499903
2026092412,6,f06_f12,6,12,2026-09-25T00:00:00,9,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,0,0,0.0,0,0,0,13301,,,,3.541475489972745e-07,1.986416785922678e-07,-0.7828461353480518
2026092412,12,f00_f12,0,12,2026-09-25T00:00:00,9,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,367,183,0.027556690193722783,137,230,46,12905,0.37329700272479566,0.25136612021857924,0.33171912832929784,0.016277266414819254,0.027178122218137202,0.40108936577094756
